input_index,pred_root,pred_stem,pred_leaf,pred_fruit,fruit_margin,num_point_differences,orig_length,generated_length
165,7.825743198394775,7.880722522735596,7.4528913497924805,9.66633415222168,1.785611629486084,110,165,165
166,6.064203262329102,6.1612396240234375,5.8991007804870605,8.100936889648438,1.939697265625,110,165,165
167,10.10637092590332,10.23701286315918,10.081206321716309,11.340197563171387,1.103184700012207,101,165,165
168,0.5464818477630615,0.5626229643821716,0.6994602680206299,1.9515148401260376,1.2520545721054077,102,165,165
169,8.622699737548828,8.827682495117188,8.650652885437012,10.700666427612305,1.8729839324951172,92,165,165
170,2.3936524391174316,2.366593360900879,2.340064525604248,4.624761581420898,2.231109142303467,87,165,165
171,3.906883955001831,3.63834810256958,3.3149573802948,6.115160942077637,2.2082769870758057,117,165,165
172,7.415112018585205,7.67969274520874,7.651398181915283,10.476808547973633,2.7971158027648926,105,165,165
173,4.651155471801758,4.770857334136963,4.610414505004883,6.284256935119629,1.513399600982666,96,165,165
174,3.6763906478881836,3.660109043121338,3.6863229274749756,5.389806747436523,1.7034838199615479,94,165,165
175,4.008992671966553,3.992528200149536,3.722822427749634,5.985293388366699,1.9763007164001465,110,165,165
176,0.9159449338912964,0.8582383990287781,1.0332205295562744,2.960167407989502,1.9269468784332275,98,165,165
177,7.8489179611206055,8.039896011352539,8.04011344909668,10.44680404663086,2.4066905975341797,103,165,165
178,10.386630058288574,10.782320022583008,10.565742492675781,13.071908950805664,2.2895889282226562,110,165,165
179,10.444305419921875,10.592721939086914,10.515585899353027,11.783760070800781,1.1910381317138672,86,165,165
180,5.030770301818848,4.960715293884277,5.025217056274414,6.842215538024902,1.8114452362060547,106,165,165
181,11.88358211517334,12.198467254638672,11.97783374786377,14.20336627960205,2.004899024963379,112,165,165
182,4.483367443084717,4.44830322265625,4.503026485443115,6.994853496551514,2.4918270111083984,110,165,165
183,7.266879558563232,7.293932914733887,7.02459192276001,9.12131404876709,1.8273811340332031,104,165,165
184,6.464076042175293,6.832394599914551,6.74336051940918,8.085588455200195,1.2531938552856445,90,165,165
185,4.625545978546143,4.938826560974121,4.8139729499816895,6.699024200439453,1.760197639465332,107,165,165
186,14.785984992980957,14.797760009765625,14.523612022399902,16.865684509277344,2.0679244995117188,87,165,165
187,2.5251305103302,2.3416481018066406,2.0160024166107178,4.41105842590332,1.8859279155731201,111,165,165
188,5.635444641113281,5.651661396026611,5.548953533172607,7.768550872802734,2.116889476776123,103,165,165
189,2.839811325073242,2.783348798751831,2.847259283065796,4.444482803344727,1.5972235202789307,96,165,165
190,8.834778785705566,8.77578353881836,8.475838661193848,10.702285766601562,1.867506980895996,95,165,165
191,6.693506717681885,6.403581619262695,6.444550514221191,9.06881046295166,2.3753037452697754,104,165,165
192,3.7169618606567383,3.7507450580596924,3.6766605377197266,5.905581951141357,2.154836893081665,113,165,165
193,4.3021063804626465,4.410488605499268,4.305104732513428,5.427422523498535,1.0169339179992676,85,165,165
194,2.215263605117798,2.121220827102661,2.1115877628326416,3.4901254177093506,1.2748618125915527,92,165,165
195,3.9617462158203125,4.063852787017822,4.084229469299316,5.643595218658447,1.5593657493591309,97,165,165
196,2.7060976028442383,2.7017667293548584,2.6691739559173584,4.754120349884033,2.048022747039795,86,165,165
197,0.8700118064880371,0.928303062915802,1.0271127223968506,2.5953938961029053,1.5682811737060547,95,165,165
198,2.495316505432129,2.7172114849090576,2.722787618637085,4.4400739669799805,1.7172863483428955,108,165,165
